,Country,Happiness Rank,Happiness,Economy,Health,Freedom,Trust,Generosity
0,Switzerland_2015,1,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004
1,Iceland_2015,2,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.14145,0.4363
2,Denmark_2015,3,7.527,1.32548,0.87464,0.6493800000000001,0.48357,0.34139
3,Norway_2015,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699
4,Canada_2015,5,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.32957,0.45811
5,Finland_2015,6,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.41372,0.23351
6,Netherlands_2015,7,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,0.4761
7,Sweden_2015,8,7.364,1.33171,0.9108700000000001,0.6598,0.43843999999999994,0.36262
8,New Zealand_2015,9,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004
9,Australia_2015,10,7.284,1.33358,0.93156,0.6512399999999999,0.35636999999999996,0.43562
10,Israel_2015,11,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996
11,Costa Rica_2015,12,7.226,0.95578,0.8602700000000001,0.63376,0.10583,0.25497
12,Austria_2015,13,7.2,1.33723,0.8904200000000001,0.62433,0.18675999999999998,0.33088
13,Mexico_2015,14,7.187,1.02054,0.8144399999999999,0.48181,0.21311999999999998,0.14074
14,United States_2015,15,7.119,1.3945100000000001,0.86179,0.54604,0.1589,0.40105
15,Brazil_2015,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574
16,Luxembourg_2015,17,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.37798000000000004,0.28034000000000003
17,Ireland_2015,18,6.94,1.33596,0.89533,0.6177699999999999,0.28703,0.45901000000000003
18,Belgium_2015,19,6.937,1.30782,0.8966700000000001,0.5845,0.2254,0.2225
19,United Arab Emirates_2015,20,6.901,1.42727,0.80925,0.64157,0.38583,0.26428
20,United Kingdom_2015,21,6.867000000000001,1.26637,0.90943,0.59625,0.32066999999999996,0.51912
21,Oman_2015,22,6.853,1.36011,0.76276,0.63274,0.32524000000000003,0.21541999999999997
22,Venezuela_2015,23,6.81,1.04424,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004
23,Singapore_2015,24,6.797999999999999,1.52186,1.02525,0.54252,0.4921,0.31105
24,Panama_2015,25,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.0927,0.24434
25,Germany_2015,26,6.75,1.32792,0.89186,0.6147699999999999,0.21843,0.28214
26,Chile_2015,27,6.67,1.10715,0.85857,0.44132,0.12869,0.33363000000000004
27,Qatar_2015,28,6.611000000000001,1.69042,0.79733,0.6404,0.52208,0.32573
28,France_2015,29,6.575,1.27778,0.9457899999999999,0.55011,0.20646,0.12332
29,Argentina_2015,30,6.574,1.05351,0.78723,0.44974,0.08484,0.11450999999999999
30,Czech Republic_2015,31,6.505,1.17898,0.84483,0.46363999999999994,0.02652,0.10686
31,Uruguay_2015,32,6.485,1.06166,0.8116,0.6036199999999999,0.24558000000000002,0.2324
32,Colombia_2015,33,6.477,0.91861,0.69077,0.53466,0.0512,0.18400999999999998
33,Thailand_2015,34,6.455,0.9669,0.7385,0.5566399999999999,0.031869999999999996,0.5763
34,Saudi Arabia_2015,35,6.4110000000000005,1.39541,0.72025,0.31048000000000003,0.32524000000000003,0.13706
35,Spain_2015,36,6.329,1.23011,0.95562,0.45951000000000003,0.06398,0.18227000000000002
36,Malta_2015,37,6.3020000000000005,1.2074,0.88721,0.60365,0.13585999999999998,0.51752
37,Taiwan_2015,38,6.297999999999999,1.29098,0.8753,0.3974,0.08129,0.25376
38,Kuwait_2015,39,6.295,1.5542200000000002,0.72492,0.55499,0.25609,0.16228
39,Suriname_2015,40,6.269,0.99534,0.6082,0.5965699999999999,0.13633,0.16990999999999998
40,Trinidad and Tobago_2015,41,6.167999999999999,1.21183,0.61483,0.55884,0.0114,0.31844
41,El Salvador_2015,42,6.13,0.76454,0.67737,0.4035,0.11775999999999999,0.10692
42,Guatemala_2015,43,6.122999999999999,0.74553,0.64425,0.57733,0.09472,0.27489
43,Uzbekistan_2015,44,6.002999999999999,0.63244,0.59772,0.6582100000000001,0.30826,0.22837
44,Slovakia_2015,45,5.995,1.1689100000000001,0.7890199999999999,0.31751,0.03431,0.16893
45,Japan_2015,46,5.987,1.27074,0.99111,0.49615,0.1806,0.10705
46,South Korea_2015,47,5.984,1.24461,0.9653799999999999,0.33208000000000004,0.07857,0.18557
